Word,Definition,Level
introspection,examining one's own thoughts and feelings,1
philanthropist,one who loves mankind,1
antidote,medicine used against a poison or a disease,1
strive,"to make great efforts, to struggle",1
ambidextrous,able to use the left hand or the right equally well,1
precursors,"a person or thing that precedes, as in a process or job.",1
retrospective,Looking back on past,1
introvert,one who turns towards himself,1
ambiguous,doubtful; uncertain,1
gerontocracy,government ruled by old people,1
aggravate,make worse; irritate,1
braggart,boastful,1
entice,"attract, lure",1
equilibrium,state of being balanced,1
alleviate,make (pain) easier to bear,1
adorn,add beauty; decorate,1
malevolent,malicious; evil; having or showing ill will,1
connote,"Suggest or imply in addition to the precise, literal meaning",1
abhor,to hate; to detest,1
agile,active; quick-moving,1
endeavor,"to make an effort, to try very hard",1
stray,wander lose one's way,1
renovate,restore something to better condition,1
curriculum,course of study,1
amalgamate,mix; combine; unite societies,1
drowsiness,feeling sleepy half asleep,1
disrobe,undress,1
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures,1
suffocate,cause or have difficulty in breathing,1
sequence,succession connected line of,1
scent,smell (especially pleasant),1
sporadic,happening from time to time,1
affinity,close connection; relationship,1
audacious,Bold,1
heterogeneous,made up of different kinds,1
animosity,strong dislike,1
fragile,easily injured broken or destroyed,1
acumen,"Keen, quick, accurate insight or judgment",1
legacy,Bequest or inheritance,1
massacre,cruel killing of a large number of people,1
submerge,put under water liquid sink out of sight,1
combustion,process of burning,1
adulteration,making unpure; poorer in quality,1
appease,make quiet or calm,1
premature,doing or happening something before the right time,1
inquest,"Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death",1
shunned,"avoided, kept away from",1
conceal,hide keep secret,1
anguish,severe suffering,1
indigenous,native,1
apt,well-suited; quick-witted,1
correlate,have a mutual relation,1
grumble,to complain,1
offhand,Without preparation or forethought,1
somersault,rolling backward or forward (not sideways) movement,1
extinguish,end the existence of/wipe or put out,1
edible,fit to be eaten/not poisonous,1
conjoin,to join together,1
surcharge,additional load/charge,1
accolade,praise; approval,1
disallow,refuse to allow or accept as a correct,1
opaqueness,dullness/not allowing light to pass through,1
impermeable,that cannot be permeated,1
console,give comfort or sympathy to,1
timid,shy easily frightened,1
abscond,to go away suddenly (to avoid arrest),1
abide,be faithful; to endure,1
embezzle,use in a wrong way for one's own benefit,1
warrant,authority written order guarantee,1
reminiscent,suggest something in the past,1
extinct,no longer active,1
loll,rest to sit or stand in a lazy way hang (dog's tongue),1
acclaimed,welcomed with shouts and approval,1
clientele,customers,1
catalyst,substance that causes speeding up,1
shallow,little depth; not earnest,1
brittle,easily broken,1
negligent,taking too little care,1
affable,polite and friendly,1
poseur,a person who attempts to impress by acting unlike himself,1
dangle,hand or swing loosely,1
moribund,in a dying state; near death,1
ascend,go or come up,1
relapse,fall back again,1
asterisk,the mark * (e.g.. omitted letters),1
yarn,tale story fibers for knitting,1
arrogance,proud; superior manner of behaviour,1
salvage,the saving of property from loss,1
livid,"Furiously angry, enraged",1
divergence,getting farther apart from a point,1
rejuvenation,becoming young in nature or appearance,1
allegiance,duty support loyalty,1
vigorous,strong energetic,1
dullard,"a stupid, insensitive person",1
dwarf,person much smaller the usual size,1
fragrant,sweet-smelling,1
judicious,sound in judgment; wise,1
nihilism,total rejection of all religious and moral beliefs,1
odor,smell,1
scribble,write hastily,1
hospitable,liking to give hospitality,1
narcissism,Self-love,1
sawdust,tiny bits of wood,1
ameliorate,improve; make better,1
ingest,take in by swallowing,1
gait,"a manner of walking, stepping, or running",1
sluggard,lazy slow-moving person,1
succumb,"yield, die",1
reiterate,say or do again several times,1
flop,fail/move/fall clumsily,1
defer,postpone,1
ossified,turned to bone; hardened like bone; Inflexible,1
eloquence,fluent speaking skillful use of language,1
derivative,unoriginal; obtained from another source,1
commuter,person who travels regularly,1
clot,half-solid lump formed from liquid,1
weigh,measure hoe heavy something is,1
steeply,rising or falling sharply,1
torque,twisting force causing rotation,1
benefactor,person who has given help,1
complaisant,trying to please; obliging,1
plea,request,1
moderation,quality of being limited; not extreme,1
enduring,lasting,1
invincible,too strong to be defeated,1
sanity,health of mind soundness of judgment,1
turmoil,trouble disturbance,1
flimsy,"lacking solidarity, strength",1
tadpole,form of a frog when it leaves the egg,1
reconcile,settle a quarrel restore peace,1
cryptic,secret with a hidden meaning,1
sponge,porous rubber for washing live at once expense,1
commemorate,keep the memory of,1
sadistic,Cruel,1
dote,show much fondness center one's attention,1
encapsulate,enclose in capsule,1
fission,splitting or division (esp. of cells),1
volatile,changeable inconstant fickle unstable explosive,1
alloy,to debase by mixing with something inferior,1
dormant,in a state of inactivity but awaiting development,1
gallant,"brave,behaves well with women",1
grievous,causing grief or pain; serious dire grave,1
enzyme,catalyst,1
shard,A piece of broken pottery,1
hypocrisy,falsely making oneself appear to be good,1
eradicate,get rid of pull up by the roots,1
chisel,steel tool for shaping materials,1
infuriate,fill with fury or rage,1
engulf,swallow up,1
euphoria,elation state of pleasant excitement,1
sanction,approval (by authority) penalty,1
renowned,celebrated; famous,1
riddle,puzzling person or thing,1
evoke,call up bring out,1
mischievous,harmful; causing mischief,1
implicit,implied though; not plainly expressed,1
disproof,proof to the contrary,1
misogynist,one who hates women/females,1
abysmal,extreme bad,1
writ,written order,1
pertain,belong as a part have reference,1
erratic,irregular in behaviour or opinion,1
meticulous,giving great attention to details,1
impromptu,without preparation,1
inclined,directing the mind in a certain direction,1
constrict,make tight or smaller,1
perish,be destroyed decay,1
Lambaste,attack verbally,1
luminary,star; light-giving body,1
dupe,cheat make a fool of,1
auxiliary,helping; supporting,1
extralegal,outside the law,1
ambivalent,having both of two contrary meanings,1
tonic,something giving strength or energy,1
endorse,write one's name on the back of,1
turbulence,being uncontrollably violent,1
connoisseur,a person with good judgement (e.g.. in art),1
indistinct,not easily heard; seen clearly marked,1
